id,attribut,valeur,ref,impactprix,impactpoids,qtt
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","50x14 (x150):1,Crystal:2,Standard:0",159215,0,2.85588,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x13 (x150):1,Crystal:2,Standard:0",159216,112,3.12138,10
35,"Taille:select:1, Couleur:select:2, Effet:select:0 ","100x20 (x48):1,Crystal:2,Standard:0",159217,51,0.87156,10
36,"Taille:select:1, Couleur:select:2, Effet:select:0 ","38x14 (x288):1,Crystal:2,Standard:0",159052,0,4.62708,10
36,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x21 (x90):1,Crystal:2,Standard:0",159220,112,0,10
37,"Taille:select:1, Couleur:select:2, Effet:select:0 ","20x12 (x600):1,Crystal:2,Standard:0",158737,0,0,10
38,"Taille:select:1, Couleur:select:2, Effet:select:0 ","63x16 (x125):1,Crystal:2,Standard:0",159222,154,2.5088,10
38,"Taille:select:1, Couleur:select:2, Effet:select:0 ","76x20 (x48):1,Crystal:2,Standard:0",159223,0,0,10
39,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28x17 (x400):1,Antique Green:2,Standard:0",207946,556,10.66294,10
39,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28x17 (x400):1,Blue Violet:2,Standard:0",687225,556,11.10694,10
39,"Taille:select:1, Couleur:select:2, Effet:select:0 ","28x17 (x400):1,Bordeaux:2,Standard:0",844235,556,10.37894,10
