id,attribut,valeur,ref,impactprix,impactpoids,
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Violet:0,Standard:1",695147,297.2,1.4998
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50 (x12):1,Crystal:0,Standard:1",249104,125.2,0.317
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"60 (x5):1,Crystal:0,Standard:1",250850,77.2,0.0847
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"70 (x1):1,Crystal:0,Standard:1",250851,0,6.2822
31,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"100 (x1):1,Crystal:0,Standard:1",250852,235.2,0
32,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30 (x48):1,Crystal:0,Standard:1",5279221,0,0
32,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40 (x40):1,Crystal:0,Standard:1",5279222,104,0.6564
33,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"30x24 (x144):1,Crystal:0,Standard:1",159054,118,3.17376
33,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x34 (x48):1,Crystal:0,Standard:1",159211,10,0.4344
33,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50x42 (x28):1,Crystal:0,Standard:1",159212,0,0
34,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"38x16 (x150):1,Crystal:0,Standard:1",159040,0,0
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"18x7.5 (x1.62):1,Crystal:0,Standard:1",159213,692,0
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Antique Green:0,Standard:1",207943,99,7.16628
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Blue Violet:0,Standard:1",941297,99,7.48884
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Bordeaux:0,Standard:1",661906,99,6.95796
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Crystal:0,Standard:1",159214,43,7.1562
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Dark Sapphire:0,Standard:1",943313,99,6.91764
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Jet:0,Standard:1",624856,99,7.23348
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Light Peridot:0,Standard:1",686085,99,7.1562
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Light Topaz:0,Standard:1",247741,99,7.21332
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Medium Sapphire:0,Standard:1",182808,99,7.16628
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Rosaline:0,Standard:1",178664,99,7.16628
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"40x11 (x336):1,Topaz:0,Standard:1",941296,99,5.829
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"50x14 (x150):1,Crystal:0,Standard:1",159215,0,2.85588
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x13 (x150):1,Crystal:0,Standard:1",159216,112,3.12138
35,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"100x20 (x48):1,Crystal:0,Standard:1",159217,51,0.87156
36,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"38x14 (x288):1,Crystal:0,Standard:1",159052,0,4.62708
36,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x21 (x90):1,Crystal:0,Standard:1",159220,112,0
37,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"20x12 (x600):1,Crystal:0,Standard:1",158737,0,0
38,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"63x16 (x125):1,Crystal:0,Standard:1",159222,154,2.5088
38,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"76x20 (x48):1,Crystal:0,Standard:1",159223,0,0
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Antique Green:0,Standard:1",207946,556,10.66294
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Blue Violet:0,Standard:1",687225,556,11.10694
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Bordeaux:0,Standard:1",844235,556,10.37894
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Crystal:0,Standard:1",159224,449,10.65094
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Dark Sapphire:0,Standard:1",943314,556,10.32294
39,"Taille:select:1, Couleur:select:2",Effet:select:1 ,"28x17 (x400):1,Emerald:0,Standard:1",844240,556,10.49094
